locus_tag,product,protein_id
BHE81_RS04200,DNA-binding transcriptional regulator YciT,WP_002901785.1
BHE81_RS04205,hypothetical protein,WP_002901786.1
BHE81_RS04210,exoribonuclease II,WP_002901787.1
BHE81_RS04215,carboxymuconolactone decarboxylase family protein,WP_004183728.1
BHE81_RS04220,enoyl-ACP reductase FabI,WP_004140277.1
BHE81_RS04225,HutD family protein,WP_004152967.1
BHE81_RS04230,purine-cytosine permease family protein,WP_172622137.1
BHE81_RS04235,putrescine export ABC transporter ATP-binding protein SapF,WP_004140269.1
BHE81_RS04240,putrescine export ABC transporter ATP-binding protein SapD,WP_004140266.1
BHE81_RS04245,putrescine export ABC transporter permease SapC,WP_004151901.1
BHE81_RS04250,putrescine export ABC transporter permease SapB,WP_002901816.1
BHE81_RS04255,ABC transporter substrate-binding protein SapA,WP_004140258.1
BHE81_RS04260,SDR family oxidoreductase,WP_172622138.1
BHE81_RS04265,helix-turn-helix transcriptional regulator,WP_019705465.1
BHE81_RS04270,helix-turn-helix domain-containing protein,WP_021441609.1
BHE81_RS04275,M20 aminoacylase family protein,WP_002901900.1
BHE81_RS04280,MFS transporter,WP_021441611.1
BHE81_RS04285,phage shock protein operon transcriptional activator,WP_004148137.1
BHE81_RS04290,phage shock protein PspA,WP_002901908.1
BHE81_RS04295,envelope stress response membrane protein PspB,WP_002901911.1
BHE81_RS04300,envelope stress response membrane protein PspC,WP_002901913.1
BHE81_RS04305,phage shock protein PspD,WP_002901915.1
BHE81_RS04310,YcjX family protein,WP_002901917.1
BHE81_RS04315,TIGR01620 family protein,WP_004140239.1
BHE81_RS04320,LysR substrate-binding domain-containing protein,WP_223174956.1
BHE81_RS04325,6-phospho-beta-glucosidase,WP_002901977.1
BHE81_RS04330,transcriptional regulator TyrR,WP_002901979.1
BHE81_RS04335,AbrB family transcriptional regulator,WP_004183734.1
BHE81_RS04340,thiol peroxidase,WP_004152131.1
BHE81_RS04345,L-Ala-D/L-Glu epimerase,WP_023312988.1
BHE81_RS04350,murein tripeptide amidase MpaA,WP_004152134.1
BHE81_RS28055,hypothetical protein,WP_004148146.1
BHE81_RS04355,peptide ABC transporter substrate-binding protein,WP_023302039.1
BHE81_RS04360,hypothetical protein,WP_024623006.1
BHE81_RS04365,LysR family transcriptional regulator,WP_023302037.1
BHE81_RS04370,alpha/beta hydrolase,WP_024623005.1
BHE81_RS04375,MFS transporter,WP_023342876.1
BHE81_RS04380,aldo/keto reductase,WP_023342875.1
BHE81_RS04390,ATP-binding protein,
BHE81_RS04395,hypothetical protein,WP_004176439.1
BHE81_RS04400,LysR family transcriptional regulator,WP_023316767.1
BHE81_RS04405,SDR family NAD(P)-dependent oxidoreductase,WP_023279949.1
BHE81_RS04410,HD domain-containing protein,WP_101850595.1
BHE81_RS04415,DJ-1/PfpI family protein,WP_023342872.1
BHE81_RS04420,type VI secretion system contractile sheath small subunit,WP_004176434.1
BHE81_RS04425,type VI secretion system contractile sheath large subunit,WP_023342871.1
BHE81_RS04430,type VI secretion system baseplate subunit TssK,WP_023286325.1
BHE81_RS04435,type VI secretion system protein TssL%2C short form,WP_004176431.1
BHE81_RS04440,OmpA family protein,WP_023342870.1
BHE81_RS04445,type VI secretion system effector Hcp,WP_002902160.1
BHE81_RS04450,type VI secretion system ATPase TssH,WP_023302030.1
BHE81_RS04455,type VI secretion system Vgr family protein,WP_024623002.1
BHE81_RS04460,DUF4123 domain-containing protein,WP_021440005.1
BHE81_RS04465,DUF3304 domain-containing protein,
BHE81_RS04470,T6SS phospholipase effector Tle1-like catalytic domain-containing protein,WP_021440007.1
BHE81_RS04475,PAAR domain-containing protein,WP_023302025.1
BHE81_RS04480,hypothetical protein,WP_024623001.1
BHE81_RS04485,ImcF-related family protein,WP_021440009.1
BHE81_RS04490,type VI secretion system protein TssA,WP_004183804.1
BHE81_RS04495,type VI secretion system baseplate subunit TssF,WP_023342868.1
BHE81_RS04500,type VI secretion system baseplate subunit TssG,WP_023342867.1
BHE81_RS04505,type VI secretion system lipoprotein TssJ,WP_020803993.1
BHE81_RS04510,hypothetical protein,WP_023342866.1
BHE81_RS04515,SDR family oxidoreductase,WP_023302022.1
BHE81_RS04520,TetR/AcrR family transcriptional regulator,WP_015958263.1
BHE81_RS04525,SDR family NAD(P)-dependent oxidoreductase,WP_004151596.1
BHE81_RS04530,AraC family transcriptional regulator,WP_004151595.1
BHE81_RS04535,DUF1471 domain-containing protein,WP_004179576.1
BHE81_RS04540,aromatic alcohol reductase,WP_021440014.1
BHE81_RS04545,LysR family transcriptional regulator,WP_004190483.1
BHE81_RS04550,LysR family transcriptional regulator,WP_110246585.1
BHE81_RS04555,MBL fold metallo-hydrolase,WP_072277578.1
BHE81_RS04560,NmrA/HSCARG family protein,WP_023342864.1
BHE81_RS04565,TetR/AcrR family transcriptional regulator,WP_020803975.1
BHE81_RS28575,NADP-dependent oxidoreductase,WP_023159483.1
BHE81_RS28580,zinc-binding dehydrogenase,WP_228268701.1
BHE81_RS04575,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_023285056.1
BHE81_RS04580,MetQ/NlpA family ABC transporter substrate-binding protein,WP_002902393.1
BHE81_RS04585,methionine ABC transporter ATP-binding protein,WP_004152912.1
BHE81_RS04590,methionine ABC transporter permease,WP_004892563.1
BHE81_RS04595,hypothetical protein,WP_019705261.1
BHE81_RS04600,hypothetical protein,WP_004176404.1
BHE81_RS04605,oxidoreductase,WP_023302016.1
BHE81_RS04610,DeoR/GlpR family DNA-binding transcription regulator,WP_023302015.1
BHE81_RS04620,zinc transporter ZntB,WP_004148192.1
BHE81_RS29005,hypothetical protein,WP_303632692.1
BHE81_RS04625,ATP-dependent RNA helicase DbpA,WP_004151591.1
BHE81_RS04630,tRNA 2-thiocytidine(32) synthetase TtcA,WP_002902422.1
BHE81_RS04635,universal stress protein UspF,WP_004140161.1
BHE81_RS04640,KTSC domain-containing protein,WP_002902432.1
BHE81_RS04645,porin OmpK37,WP_014907693.1
BHE81_RS04650,pyruvate:ferredoxin (flavodoxin) oxidoreductase,WP_004176395.1
BHE81_RS04660,DUF333 domain-containing protein,WP_004140155.1
BHE81_RS04665,heat shock protein HslJ,WP_009309014.1
BHE81_RS04670,2-hydroxyacid dehydrogenase,WP_002902515.1
BHE81_RS04675,DedA family protein,WP_023302011.1
BHE81_RS04680,YdbH family protein,WP_004224451.1
BHE81_RS04685,YnbE family lipoprotein,WP_004140145.1
BHE81_RS04690,YdbL family protein,WP_002902522.1
BHE81_RS04695,transcriptional regulator FeaR,WP_023302010.1
BHE81_RS04700,aldehyde dehydrogenase family protein,WP_004140136.1
BHE81_RS04705,oxidoreductase,WP_023302008.1
BHE81_RS04710,class II aldolase and adducin N-terminal domain-containing protein,WP_016947239.1
BHE81_RS04715,ABC transporter substrate-binding protein,WP_016947240.1
BHE81_RS04720,phytanoyl-CoA dioxygenase family protein,WP_016947241.1
BHE81_RS04725,amino acid ABC transporter permease/ATP-binding protein,WP_004148211.1
BHE81_RS04735,LysR substrate-binding domain-containing protein,WP_004190428.1
BHE81_RS04740,flavin-containing monooxygenase,WP_004148215.1
BHE81_RS04745,RidA family protein,WP_004190423.1
BHE81_RS04750,DUF1028 domain-containing protein,WP_016532663.1
BHE81_RS04755,acetylornithine deacetylase,WP_024622996.1
BHE81_RS04760,phytanoyl-CoA dioxygenase family protein,WP_023302006.1
BHE81_RS04765,zinc-dependent alcohol dehydrogenase family protein,WP_024622995.1
BHE81_RS04770,primary-amine oxidase,WP_023302004.1
BHE81_RS04775,phenylacetic acid degradation bifunctional protein PaaZ,WP_023302003.1
BHE81_RS04780,1%2C2-phenylacetyl-CoA epoxidase subunit PaaA,WP_004176377.1
BHE81_RS04785,1%2C2-phenylacetyl-CoA epoxidase subunit PaaB,WP_004224492.1
BHE81_RS04790,1%2C2-phenylacetyl-CoA epoxidase subunit PaaC,WP_004224493.1
BHE81_RS04795,1%2C2-phenylacetyl-CoA epoxidase subunit PaaD,WP_016947247.1
BHE81_RS04800,1%2C2-phenylacetyl-CoA epoxidase subunit PaaE,WP_023302002.1
BHE81_RS04805,2%2C3-dehydroadipyl-CoA hydratase PaaF,WP_023342863.1
BHE81_RS04810,2-(1%2C2-epoxy-1%2C2-dihydrophenyl)acetyl-CoA isomerase PaaG,WP_004140117.1
BHE81_RS04815,3-hydroxyacyl-CoA dehydrogenase,WP_024622994.1
BHE81_RS04820,hydroxyphenylacetyl-CoA thioesterase PaaI,WP_002902876.1
BHE81_RS04825,3-oxoadipyl-CoA thiolase,WP_004151578.1
BHE81_RS04830,phenylacetate--CoA ligase PaaK,WP_020803996.1
BHE81_RS04835,phenylacetic acid degradation operon negative regulatory protein PaaX,WP_004194367.1
BHE81_RS04840,phenylacetic acid degradation protein PaaY,WP_002902883.1
BHE81_RS04845,GFA family protein,WP_024622993.1
BHE81_RS04850,FMN-dependent NADH-azoreductase,WP_149888786.1
BHE81_RS04855,ATP-dependent RNA helicase HrpA,WP_023301998.1
BHE81_RS04860,O-methyltransferase,WP_004151576.1
BHE81_RS04865,efflux transporter outer membrane subunit,WP_228268702.1
BHE81_RS28585,transporter,
BHE81_RS04870,HlyD family secretion protein,WP_023301997.1
BHE81_RS04875,MFS transporter,
BHE81_RS04880,MarR family winged helix-turn-helix transcriptional regulator,WP_014907679.1
BHE81_RS04885,LysR family transcriptional regulator,WP_110246584.1
BHE81_RS04890,aldo/keto reductase,WP_023301994.1
BHE81_RS04895,Glu/Leu/Phe/Val family dehydrogenase,WP_004151574.1
BHE81_RS28065,hypothetical protein,WP_004224524.1
BHE81_RS04900,aspartate aminotransferase family protein,WP_004176366.1
BHE81_RS04905,arginine N-succinyltransferase,WP_004140076.1
BHE81_RS04910,succinylglutamate-semialdehyde dehydrogenase,WP_004210329.1
BHE81_RS04915,N-succinylarginine dihydrolase,WP_004190366.1
BHE81_RS04920,succinylglutamate desuccinylase,WP_004176358.1
BHE81_RS04925,amino acid permease,WP_002903059.1
BHE81_RS04930,MFS transporter,WP_023301992.1
BHE81_RS04935,YdcF family protein,WP_019705908.1
BHE81_RS28070,hypothetical protein,WP_032409980.1
BHE81_RS04940,aldehyde dehydrogenase,WP_004151568.1
BHE81_RS04945,type I glyceraldehyde-3-phosphate dehydrogenase,WP_016529461.1
BHE81_RS04950,YqaE/Pmp3 family membrane protein,WP_002903230.1
BHE81_RS04955,DUF1398 domain-containing protein,WP_002903231.1
BHE81_RS04960,sulfurtransferase-like selenium metabolism protein YedF,WP_002903233.1
BHE81_RS04965,selenium metabolism membrane protein YedE/FdhT,WP_015958353.1
BHE81_RS04970,DUF1304 domain-containing protein,WP_004179665.1
BHE81_RS04975,hypothetical protein,WP_004179667.1
BHE81_RS04980,putative selenium delivery protein YdfZ,WP_004151566.1
BHE81_RS04985,CorA family divalent cation transporter,WP_004179669.1
BHE81_RS04990,MalY/PatB family protein,WP_004140039.1
BHE81_RS04995,glucose PTS transporter subunit EIIB,
BHE81_RS05000,YagK/YfjJ domain-containing protein,WP_023280002.1
BHE81_RS05005,IS3-like element ISSen4 family transposase,WP_097732520.1
BHE81_RS05005,IS3-like element ISSen4 family transposase,WP_097732520.1
BHE81_RS05010,recombinase family protein,WP_007890845.1
BHE81_RS05015,cation diffusion facilitator family transporter,WP_001198019.1
BHE81_RS05020,cytochrome b562,WP_013096889.1
BHE81_RS28595,IS3 family transposase,
BHE81_RS05025,cytochrome b/b6 domain-containing protein,WP_001004932.1
BHE81_RS05030,VIT1/CCC1 transporter family protein,WP_000549951.1
BHE81_RS05035,hypothetical protein,WP_016537359.1
BHE81_RS05040,hypothetical protein,WP_023280004.1
BHE81_RS05045,lysozyme inhibitor LprI family protein,WP_023280005.1
BHE81_RS05055,recombinase family protein,WP_013096884.1
BHE81_RS05060,PTS maltose transporter subunit IICB,
BHE81_RS05065,Mal regulon transcriptional regulator MalI,WP_004148253.1
BHE81_RS05070,YdgA family protein,WP_032428166.1
BHE81_RS05075,mannose-6-phosphate isomerase,WP_004892339.1
BHE81_RS05080,class I fumarate hydratase FumA,WP_002903313.1
BHE81_RS05085,class II fumarate hydratase,WP_002903315.1
BHE81_RS05090,DNA replication terminus site-binding protein,WP_004183886.1
BHE81_RS05095,two-component system sensor histidine kinase RstB,WP_004151564.1
BHE81_RS05100,hypothetical protein,WP_023342859.1
BHE81_RS05105,two-component system response regulator RstA,WP_023342858.1
BHE81_RS05110,GlpM family protein,WP_002903379.1
BHE81_RS05115,dihydromonapterin reductase,WP_004176334.1
BHE81_RS05120,amino acid permease,WP_004183892.1
BHE81_RS05130,DUF1471 family protein YdgH,WP_002903384.1
BHE81_RS05140,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,WP_004148265.1
BHE81_RS05145,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,WP_002903386.1
BHE81_RS05150,YdiH family protein,WP_002903388.1
BHE81_RS05155,universal stress protein UspE,WP_002903391.1
BHE81_RS05160,fumarate/nitrate reduction transcriptional regulator Fnr,WP_002903394.1
BHE81_RS05165,methylated-DNA--[protein]-cysteine S-methyltransferase,WP_004224598.1
BHE81_RS05170,hypothetical protein,WP_002903398.1
BHE81_RS05175,p-aminobenzoyl-glutamate transporter,WP_002903400.1
BHE81_RS05180,M20 family metallopeptidase,WP_023342843.1
BHE81_RS05185,M20 family metallo-hydrolase,WP_009760675.1
BHE81_RS05190,LysR family transcriptional regulator,WP_002903460.1
BHE81_RS05195,DNA endonuclease SmrA,WP_004143055.1
BHE81_RS05200,IclR family transcriptional regulator domain-containing protein,WP_004151560.1
BHE81_RS05205,3-oxoacid CoA-transferase subunit A,WP_002903522.1
BHE81_RS05210,3-oxoacid CoA-transferase subunit B,WP_004151559.1
BHE81_RS05215,3-oxoadipyl-CoA thiolase,WP_004179693.1
BHE81_RS28600,3-carboxy-cis%2Ccis-muconate cycloisomerase,
BHE81_RS05220,3-carboxy-cis%2Ccis-muconate cycloisomerase,WP_228268703.1
BHE81_RS05225,3-oxoadipate enol-lactonase,WP_110246577.1
BHE81_RS05230,4-carboxymuconolactone decarboxylase,WP_004143067.1
BHE81_RS05235,mechanosensitive ion channel protein MscS,
BHE81_RS05240,class I fumarate hydratase FumA,WP_004152246.1
BHE81_RS05245,anion permease,WP_004148278.1
BHE81_RS05250,flavocytochrome c,WP_004152245.1
BHE81_RS05255,FAD:protein FMN transferase,WP_016946653.1
BHE81_RS05260,two-component system response regulator DcuR,WP_004176303.1
BHE81_RS05265,sensor histidine kinase,WP_023301966.1
BHE81_RS05270,hypothetical protein,WP_004176301.1
BHE81_RS05275,N-acetylmuramic acid 6-phosphate etherase,WP_023280026.1
BHE81_RS05280,malate dehydrogenase (quinone),WP_076750587.1
BHE81_RS05285,LysR substrate-binding domain-containing protein,WP_110246576.1
BHE81_RS05290,malonate decarboxylase subunit epsilon,WP_110246575.1
BHE81_RS05295,malonate decarboxylase holo-ACP synthase,WP_004152239.1
BHE81_RS05300,AEC family transporter,WP_004148291.1
BHE81_RS05305,biotin-independent malonate decarboxylase subunit gamma,WP_004224637.1
BHE81_RS05310,biotin-independent malonate decarboxylase subunit beta,WP_004143105.1
BHE81_RS05315,malonate decarboxylase acyl carrier protein,WP_004143106.1
BHE81_RS05320,triphosphoribosyl-dephospho-CoA synthase,WP_149888787.1
BHE81_RS05325,malonate decarboxylase subunit alpha,WP_021313857.1
BHE81_RS05330,AI-2E family transporter,WP_002903679.1
BHE81_RS05335,multidrug efflux SMR transporter subunit KpnE,WP_002903681.1
BHE81_RS05340,multidrug efflux SMR transporter subunit KpnF,WP_002903683.1
BHE81_RS05345,hypothetical protein,WP_002903685.1
BHE81_RS05350,trypsin-like serine peptidase,WP_002903687.1
BHE81_RS05355,acid resistance repetitive basic protein Asr,WP_002903693.1
BHE81_RS05360,carboxypeptidase M32,WP_149888788.1
BHE81_RS28605,KPN_01571 family protein,WP_004206050.1
BHE81_RS05365,MFS transporter,WP_002903698.1
BHE81_RS05370,LysR family transcriptional regulator,WP_002903700.1
BHE81_RS05375,sugar metabolism global transcriptional regulator Mlc,WP_002903701.1
BHE81_RS05380,dethiobiotin synthase,WP_002903703.1
BHE81_RS05385,voltage-gated ClC-type chloride channel ClcB,
BHE81_RS05390,Tat proofreading chaperone DmsD,
BHE81_RS05395,DmsC/YnfH family molybdoenzyme membrane anchor subunit,WP_004190282.1
BHE81_RS05400,DMSO/selenate family reductase complex B subunit,
BHE81_RS05405,selenate/tellurate reductase subunit YnfE,WP_040186584.1
BHE81_RS05410,DUF1161 domain-containing protein,WP_002903714.1
BHE81_RS05415,YnfC family lipoprotein,WP_023282549.1
BHE81_RS05420,spermidine N1-acetyltransferase,WP_002903719.1
BHE81_RS05425,DUF1283 family protein,WP_002903720.1
BHE81_RS05430,YnfA family protein,WP_072198387.1
BHE81_RS05435,MFS transporter,WP_023342836.1
BHE81_RS05440,mannitol dehydrogenase family protein,WP_023342835.1
BHE81_RS05445,universal stress protein,WP_004183938.1
BHE81_RS05450,GntR family transcriptional regulator,WP_002903730.1
BHE81_RS05455,bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG,WP_002903733.1
BHE81_RS05460,peptidyl-dipeptidase Dcp,WP_032417100.1
BHE81_RS05465,nuclear transport factor 2 family protein,WP_002903735.1
BHE81_RS05470,AraC family transcriptional regulator,WP_228268724.1
BHE81_RS05475,SOS response-associated peptidase,WP_004176282.1
BHE81_RS28075,hypothetical protein,WP_004219446.1
BHE81_RS05480,small membrane protein,WP_004143611.1
BHE81_RS05485,helix-turn-helix transcriptional regulator,WP_023286395.1
BHE81_RS28080,hypothetical protein,WP_020316505.1
BHE81_RS29010,YnaM/YnfT family protein,WP_271229884.1
BHE81_RS28085,hypothetical protein,WP_223174615.1
BHE81_RS05500,Hsp20 family protein,WP_004183942.1
BHE81_RS05505,2-oxo-tetronate isomerase,WP_032429511.1
BHE81_RS05510,diguanylate phosphodiesterase,WP_004143607.1
BHE81_RS05520,small membrane protein,WP_004195995.1
BHE81_RS05525,LuxR family transcriptional regulator KbvR,WP_021440080.1
BHE81_RS05530,helix-turn-helix domain-containing protein,WP_021440081.1
BHE81_RS05535,GntP family transporter,WP_002903916.1
BHE81_RS05540,HPr family phosphocarrier protein,WP_004176276.1
BHE81_RS05545,aldolase,
BHE81_RS05550,3-oxo-tetronate kinase,WP_004224682.1
BHE81_RS05555,L-threonate dehydrogenase,
BHE81_RS05565,DeoR/GlpR family DNA-binding transcription regulator,WP_002210513.1
BHE81_RS05570,broad-spectrum class A beta-lactamase SHV-187,WP_021440083.1
BHE81_RS05575,hypothetical protein,WP_004176262.1
BHE81_RS05580,AAA family ATPase,WP_021440085.1
BHE81_RS05585,MFS transporter,WP_004176258.1
BHE81_RS05590,beta-galactosidase,WP_021440086.1
BHE81_RS05595,LacI family DNA-binding transcriptional regulator,WP_004183956.1
BHE81_RS05600,GNAT family N-acetyltransferase,WP_021440087.1
BHE81_RS05605,DUF4177 domain-containing protein,WP_004205985.1
BHE81_RS05610,transcriptional regulator FtrA,WP_029602386.1
BHE81_RS05615,rhodanese-like domain-containing protein,WP_004183961.1
BHE81_RS05620,cobalamin-independent methionine synthase II family protein,WP_004148338.1
BHE81_RS05625,urea ABC transporter substrate-binding protein,WP_004224704.1
BHE81_RS05630,urea ABC transporter permease subunit UrtB,WP_015958384.1
BHE81_RS05635,urea ABC transporter permease subunit UrtC,WP_004148341.1
BHE81_RS05640,urea ABC transporter ATP-binding protein UrtD,WP_004148342.1
BHE81_RS05645,urea ABC transporter ATP-binding subunit UrtE,WP_004176246.1
BHE81_RS05650,helix-turn-helix domain-containing protein,WP_002904389.1
BHE81_RS05655,efflux MFS transporter YdeE,WP_021440091.1
BHE81_RS05660,O-acetylserine/cysteine exporter,WP_004143566.1
BHE81_RS05665,multiple antibiotic resistance protein MarB,WP_002904394.1
BHE81_RS05670,MDR efflux pump AcrAB transcriptional activator MarA,WP_002904397.1
BHE81_RS05675,multiple antibiotic resistance transcriptional regulator MarR,WP_004143563.1
BHE81_RS28090,hypothetical protein,WP_004217987.1
BHE81_RS05680,MarC family NAAT transporter,WP_002904403.1
BHE81_RS05685,sugar transporter,WP_002904407.1
BHE81_RS05690,PhzF family phenazine biosynthesis protein,WP_004179766.1
